Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
9.63,10.72,35.45,19.39,44.67,30.07,1.07,6.33,9.21,289.41,26.538,1.83,2,1,1,2.482,0.66,0.456,0.119,773.8,8
10.89,11.66,32.93,21.25,35.28,30.23,0.21,6.79,6.83,210.06,44.5,1.9,0,0,1,3.925,0.987,0.793,0.038,775.2,15
11.93,10.49,33.69,21.82,31.32,31.86,0.45,6.17,11.72,174.8,43.974,0.9,1,1,1,1.796,0.851,0.745,0.014,528.4,8
11.48,9.33,32.09,21.5,44.58,35.79,0.14,7.32,5.62,183.81,12.624,1.58,2,0,1,0.737,0.63,0.61,0.045,485.1,11
12.6,12.55,43.78,22.07,35.67,34.85,1.59,6.5,11.65,211.34,24.115,1.44,2,1,1,2.03,0.77,0.231,0.09,415.9,14
9.53,10.29,44.87,19.17,38.92,32.67,1.81,6.96,8.53,307.74,42.886,1.24,0,1,0,3.876,0.763,0.58,0.063,334.9,16
11.14,10.72,33.03,20.23,38.3,35.95,0.57,6.91,10.19,245.76,37.883,1.52,2,1,1,3.053,0.806,0.753,0.111,278.7,16
12.11,10.21,29.4,20.11,35.77,30.96,1.01,6.17,8.98,394.26,55.368,1.29,2,0,0,0.956,0.227,0.701,0.006,207.4,7
14.8,12.54,37.32,22.61,36.87,30.57,1.24,7.74,5.39,370.68,11.604,1.15,0,1,0,2.115,0.294,0.205,0.036,428.7,6
8.53,12.95,43.4,22.65,35.23,30.17,1.86,5.87,6.09,177.9,35.85,1.33,2,1,0,1.231,0.662,0.723,0.112,210.3,18
9.4,9.18,37.98,22.07,36.45,35.37,0.32,7.35,10.91,291.86,22.541,1.33,2,0,1,3.41,0.235,0.866,0.171,775.1,18
13.44,12.21,34.39,24.84,38.51,35.22,1.1,6.25,6.96,185.1,35.23,0.58,1,1,1,1.296,0.44,0.369,0.183,768.2,11
13.33,9.03,44.57,20.11,36.91,34.36,0.45,6.15,6.62,159.77,23.627,1.04,3,1,0,2.217,0.56,0.192,0.011,328.0,7
14.99,9.63,27.02,23.53,30.68,33.53,0.1,6.05,5.27,159.64,14.239,0.6,2,1,1,3.267,0.893,0.91,0.102,237.6,9
8.84,12.61,36.85,21.59,33.1,35.95,1.68,7.63,12.0,299.25,59.937,1.88,1,1,0,1.788,0.682,0.309,0.198,383.7,6
13.54,12.45,33.97,24.01,38.84,34.22,1.09,7.54,5.61,348.68,20.0,1.29,2,1,1,3.654,0.364,0.384,0.048,516.1,13
13.18,11.44,36.9,21.63,38.46,30.8,1.76,7.07,5.89,243.98,16.934,1.82,1,1,0,1.723,0.204,0.551,0.097,349.6,7
11.28,12.11,27.04,23.15,40.18,32.84,1.68,7.27,11.49,263.55,68.002,1.08,3,0,0,2.597,0.959,0.458,0.089,518.7,4
13.13,11.67,27.68,20.42,30.56,35.44,0.0,6.64,11.43,366.68,27.524,0.32,1,1,0,2.615,0.389,0.758,0.074,680.3,8
10.83,9.1,37.61,22.16,34.78,35.87,1.02,7.8,8.43,262.24,39.336,0.93,0,0,0,3.168,0.271,0.674,0.015,789.9,17
11.25,9.61,44.14,19.39,35.89,30.85,1.57,7.74,8.68,318.59,43.326,0.29,0,0,0,3.591,0.798,0.695,0.039,240.9,3
11.28,11.36,31.3,24.66,43.91,35.95,0.64,6.69,9.24,328.77,63.26,0.27,2,0,1,1.111,0.756,0.625,0.15,354.1,12
9.86,9.23,44.11,24.89,34.08,33.32,1.73,6.53,7.89,106.58,12.615,0.42,1,0,1,3.822,0.547,0.649,0.048,735.0,11
9.46,9.48,29.03,20.75,31.74,30.99,1.48,6.71,9.21,164.93,41.682,1.09,0,1,0,2.956,0.321,0.461,0.184,652.5,3
11.0,9.1,33.7,19.36,39.35,34.15,0.1,7.1,8.25,273.93,38.512,1.35,0,0,0,2.121,0.339,0.659,0.011,768.9,15
14.66,10.25,27.77,22.12,37.19,32.24,0.43,7.14,10.25,244.88,31.95,1.01,0,0,0,1.957,0.236,0.993,0.049,673.7,2
14.41,12.87,29.55,24.09,34.97,31.63,1.68,5.57,5.71,190.42,10.859,0.5,3,1,1,1.958,0.819,0.349,0.086,315.2,6
14.09,12.59,38.38,22.95,32.63,35.83,1.52,6.05,5.63,332.43,61.879,1.36,3,0,1,1.068,0.437,0.751,0.196,430.6,1
12.95,9.86,30.09,20.42,34.98,30.96,1.33,6.35,8.91,352.49,20.641,1.94,3,1,1,2.523,0.429,0.603,0.009,560.5,13
13.69,9.02,32.12,23.19,30.69,32.68,0.25,7.67,8.42,177.76,43.452,1.72,1,0,1,2.466,0.628,0.616,0.101,710.8,14
12.0,11.74,28.85,20.96,30.27,34.49,1.45,7.41,9.65,380.44,60.161,1.31,1,0,0,1.093,0.737,0.844,0.148,652.5,3
10.58,11.53,44.05,22.72,37.28,33.4,1.11,7.99,9.22,361.56,49.368,0.59,0,0,1,0.713,0.383,0.587,0.04,673.4,8
14.13,12.53,34.36,22.4,31.15,30.82,0.36,5.8,4.84,261.36,68.056,0.79,0,1,1,1.774,0.709,0.178,0.105,481.3,4
9.75,11.85,37.97,23.62,31.56,31.04,0.8,6.61,10.98,160.95,47.454,0.55,0,0,1,1.811,0.373,0.335,0.186,428.1,15
13.65,11.65,32.36,20.37,37.0,33.22,1.26,7.52,5.05,398.55,19.618,0.21,2,0,0,1.092,0.899,0.741,0.01,296.8,2
10.77,10.2,43.18,23.32,42.13,31.84,0.36,7.35,8.08,349.88,19.064,0.12,2,0,1,2.198,0.562,0.913,0.164,647.6,3
9.69,12.87,29.32,19.25,35.78,34.61,1.38,6.14,7.73,279.97,14.408,1.16,0,1,1,1.302,0.607,0.161,0.08,787.1,8
9.36,10.88,28.24,20.65,30.37,33.25,1.07,7.7,5.69,136.77,19.065,1.32,1,1,0,1.967,0.968,0.766,0.111,286.0,16
12.84,9.95,32.76,22.9,38.35,31.12,0.35,6.11,8.99,360.86,31.217,1.8,3,0,0,2.886,0.478,0.959,0.115,410.9,5
9.19,9.7,28.81,21.07,36.25,31.49,0.3,6.42,6.83,223.73,52.595,1.35,3,0,0,3.938,0.861,0.444,0.026,512.3,12
8.09,10.39,40.72,19.03,36.63,31.81,1.46,7.11,8.91,317.97,38.958,0.73,0,1,0,1.632,0.624,0.106,0.058,332.9,5
11.95,12.02,36.59,21.97,35.28,32.16,1.65,6.8,5.57,365.21,52.303,0.76,3,0,0,3.129,0.288,0.262,0.148,276.4,4
11.87,12.46,44.47,20.87,30.05,30.03,1.35,6.95,10.08,180.75,31.42,1.15,2,1,1,2.209,0.352,0.265,0.055,347.4,5
11.72,9.62,42.28,23.53,44.86,35.0,1.11,6.17,10.16,379.97,33.664,1.49,2,1,1,2.35,0.53,0.495,0.061,640.2,6
11.97,10.95,41.39,24.77,44.89,35.48,1.54,6.1,5.5,201.42,44.029,1.87,1,1,1,2.223,0.252,0.545,0.183,506.1,16
9.6,9.61,44.47,21.54,35.26,34.85,1.39,7.62,8.03,230.55,37.195,0.09,0,1,0,3.905,0.628,0.525,0.075,640.4,17
8.05,11.78,30.45,22.39,43.27,34.74,1.73,7.56,6.87,193.27,63.236,1.99,3,0,0,1.32,0.861,0.526,0.04,366.0,13
11.48,9.35,40.53,19.43,40.85,35.04,1.7,6.96,8.97,233.52,28.897,1.49,3,1,1,1.128,0.628,0.455,0.007,568.9,4
12.71,11.17,31.7,20.09,36.03,34.15,0.15,7.39,10.49,234.55,55.805,0.03,1,0,1,3.829,0.73,0.465,0.148,643.0,3
14.81,11.12,43.26,19.1,44.91,32.5,0.36,7.1,9.76,182.23,36.939,1.86,2,1,1,3.824,0.547,0.658,0.112,668.0,19
13.55,9.1,41.47,23.15,37.71,31.01,1.43,5.86,5.3,358.63,33.62,1.1,0,0,0,0.592,0.382,0.594,0.015,545.7,19
11.73,12.43,43.68,20.08,38.01,33.54,0.83,6.29,9.86,112.17,39.821,1.7,0,0,1,1.679,0.686,0.97,0.016,567.2,14
12.41,11.07,44.03,23.13,35.11,33.51,0.11,7.58,11.43,179.11,44.747,0.94,1,1,1,2.705,0.97,0.264,0.089,430.8,11
12.35,12.2,34.6,23.45,35.33,32.97,0.27,5.6,7.12,398.47,31.007,0.15,1,0,0,3.732,0.88,0.325,0.133,575.5,3
10.81,9.51,28.34,22.32,41.19,33.26,0.84,7.19,11.2,106.72,18.573,1.71,1,1,0,3.904,0.943,0.544,0.173,209.2,18
13.81,12.21,43.63,21.55,41.88,30.87,1.82,6.05,9.71,157.31,47.577,1.92,0,0,0,1.624,0.831,0.452,0.126,428.4,10
8.63,11.39,36.64,19.94,39.65,33.66,1.26,6.36,8.28,169.71,47.889,1.77,3,0,0,1.453,0.425,0.106,0.056,321.3,2
13.54,9.88,31.68,24.77,31.01,30.67,0.52,6.95,5.11,355.35,26.252,0.81,1,0,0,0.61,0.334,0.973,0.168,741.9,11
14.21,10.0,27.77,21.63,40.4,33.6,0.68,6.44,8.94,170.73,10.07,0.36,0,1,0,2.892,0.593,0.285,0.112,783.3,16
13.31,9.66,41.39,20.47,39.5,34.71,1.65,7.45,4.64,249.74,66.845,1.38,0,1,0,3.666,0.858,0.189,0.173,273.0,6
