Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
9.44,11.86,45.18,27.21,51.72,35.11,0.47,8.41,6.52,110.91,27.478,1.39,1,1,1,4.638,0.369,0.989,0.214,392.9,18
5.87,12.11,33.15,26.99,47.18,32.27,0.75,6.27,6.16,273.7,56.52,0.57,1,1,0,4.568,0.391,0.413,0.164,680.7,4
9.59,13.16,35.97,24.39,48.32,31.67,1.79,7.36,10.84,221.12,31.615,1.37,2,0,1,1.505,0.798,1.025,0.044,432.9,13
5.49,13.55,44.33,23.26,59.24,33.29,1.16,6.85,4.66,309.53,41.917,1.33,1,0,0,2.492,1.022,0.619,0.169,822.1,19
5.3,13.98,44.63,20.7,53.23,32.71,0.52,6.45,4.27,294.46,34.421,0.36,3,1,0,2.626,1.165,0.365,0.079,892.2,19
9.79,10.99,37.63,21.96,59.11,31.34,1.68,8.45,10.4,293.53,60.588,1.37,3,0,1,4.093,0.451,0.527,0.273,623.7,11
5.99,10.98,37.9,24.65,41.78,33.03,0.92,6.58,11.76,112.99,23.48,0.72,3,0,0,3.552,0.381,0.467,0.293,656.9,12
6.09,14.63,29.38,22.73,49.32,33.04,1.67,7.74,10.87,128.81,63.84,0.66,2,0,1,4.94,1.017,0.733,0.2,492.3,4
7.65,13.92,39.46,25.05,57.83,32.11,1.66,7.34,10.9,223.77,49.813,1.39,2,1,1,2.216,0.381,1.073,0.029,853.6,14
6.04,9.56,38.83,25.62,50.5,30.29,0.41,7.4,11.64,303.06,48.008,0.85,1,0,1,2.12,1.067,0.89,0.077,894.1,3
5.43,10.45,26.67,25.46,50.51,30.41,0.67,7.73,10.96,114.47,29.221,1.08,0,0,0,2.041,0.523,0.34,0.062,512.4,3
6.56,14.54,42.72,24.41,46.95,33.44,0.07,6.13,5.96,124.2,33.146,1.46,2,1,1,1.944,0.446,0.358,0.053,576.7,7
7.37,12.9,25.54,26.56,46.65,32.86,0.85,7.47,9.19,391.64,53.968,1.24,0,0,0,3.548,0.955,0.283,0.274,461.2,5
7.1,13.57,42.75,22.3,50.2,33.71,1.63,6.68,10.02,142.95,52.366,0.33,3,1,0,3.914,1.137,0.283,0.039,709.4,2
8.53,13.58,36.05,26.25,57.39,35.26,1.15,8.5,9.85,380.74,63.672,0.42,3,0,1,2.338,1.132,0.958,0.109,355.2,15
5.78,11.84,40.88,23.02,44.05,32.84,0.44,6.93,6.77,225.29,31.044,0.05,1,0,0,3.025,0.401,0.962,0.227,627.6,14
6.83,12.41,27.07,27.87,51.55,33.47,0.99,6.48,10.23,371.01,25.887,1.01,0,1,0,1.573,0.572,0.251,0.046,374.0,16
6.78,12.25,30.78,28.07,40.67,34.81,0.99,7.36,10.4,136.5,49.644,0.85,3,1,0,3.875,0.789,0.945,0.169,668.5,4
7.22,9.07,42.77,27.13,42.18,31.42,1.44,7.55,9.2,284.34,59.599,1.02,2,0,0,3.068,0.327,0.949,0.289,791.3,9
6.0,14.79,45.78,20.11,46.98,30.82,0.58,6.41,6.71,339.4,29.363,1.0,1,1,0,1.805,0.773,0.227,0.039,570.0,15
7.51,12.46,39.01,25.63,50.18,31.99,1.19,7.53,5.13,297.42,53.27,0.01,1,1,1,1.157,0.343,0.656,0.05,332.4,13
7.47,13.54,31.95,28.1,45.6,31.96,1.16,8.2,5.43,282.95,51.751,0.2,2,1,0,2.624,0.73,0.416,0.221,619.1,11
6.71,12.48,37.21,26.35,49.29,34.81,0.11,6.53,5.98,312.79,43.34,0.55,3,0,0,3.412,1.036,1.107,0.253,760.9,5
8.24,12.96,31.16,21.37,50.34,32.66,1.96,7.16,7.79,144.8,26.871,0.23,3,1,1,1.965,1.146,0.971,0.194,772.4,11
7.55,8.82,25.98,23.49,41.8,35.07,0.95,6.59,7.51,345.9,58.353,1.31,1,1,0,1.848,0.662,0.675,0.078,576.3,12
6.44,11.08,44.4,28.69,44.69,33.64,1.54,8.08,8.94,385.54,64.881,0.74,2,0,0,2.986,0.615,0.578,0.229,690.7,1
7.82,8.15,36.13,25.22,53.42,30.75,1.43,7.05,10.92,189.35,40.826,0.5,1,0,1,2.075,1.158,0.26,0.299,450.1,15
6.63,9.12,34.41,28.19,41.36,33.94,1.52,7.09,9.49,175.67,57.051,1.31,2,0,1,3.122,0.698,1.154,0.03,732.7,15
5.74,14.87,42.32,23.6,48.43,34.26,0.37,8.09,9.81,272.31,60.004,1.42,2,0,0,3.033,0.965,1.023,0.024,677.7,5
6.72,8.58,39.06,20.69,59.24,35.06,1.7,7.8,10.53,246.51,23.506,1.35,2,1,1,4.944,0.433,0.455,0.233,500.9,19
7.99,11.35,25.42,21.37,40.78,32.27,1.42,8.11,5.98,108.73,38.346,0.13,0,1,1,1.418,0.995,1.126,0.27,798.4,16
5.77,11.0,36.48,29.36,46.59,33.89,1.2,6.43,8.2,358.3,59.803,1.4,1,1,1,2.865,1.048,0.795,0.166,846.1,13
9.88,14.24,26.44,26.79,43.79,33.78,0.66,6.48,6.56,369.81,58.569,0.58,1,0,0,4.083,0.937,0.969,0.242,883.8,15
5.32,8.91,41.33,23.25,41.31,32.23,1.69,6.19,8.8,128.74,57.053,1.28,2,1,1,2.709,0.754,1.051,0.046,839.3,4
5.26,8.15,45.67,22.31,44.54,31.03,0.27,8.47,10.28,166.31,57.339,0.98,0,1,1,2.579,0.898,0.954,0.1,523.7,14
5.7,10.11,43.24,21.78,42.7,32.59,1.69,7.1,8.1,354.45,55.223,0.82,2,0,0,1.712,0.603,0.781,0.18,511.8,15
7.41,12.99,30.32,24.01,57.36,30.84,0.16,6.18,5.73,136.47,21.113,1.02,2,1,0,3.52,0.36,0.759,0.206,327.1,19
9.0,11.02,45.36,24.5,59.98,35.75,0.03,6.93,4.22,152.09,50.787,0.22,0,1,1,1.47,1.045,0.812,0.12,470.5,8
7.82,12.69,39.91,25.03,41.71,34.58,1.35,7.01,6.65,348.44,22.313,0.48,1,0,0,2.143,0.706,0.542,0.198,760.7,11
8.13,14.54,31.12,22.05,57.94,31.3,0.03,6.44,8.4,274.95,46.051,1.34,2,0,1,2.277,0.449,0.82,0.222,320.7,10
7.29,12.82,37.13,22.45,58.48,34.54,0.03,6.52,6.72,213.81,55.836,0.92,0,0,0,1.134,1.055,0.162,0.072,275.9,19
6.94,14.12,36.43,21.88,57.36,35.61,1.64,7.23,5.51,272.26,36.292,0.14,0,1,0,2.055,0.346,0.506,0.225,548.7,4
9.03,8.59,26.3,23.88,47.64,32.9,1.06,6.9,8.03,329.73,45.226,0.59,1,0,0,3.498,0.629,0.747,0.148,512.6,19
8.45,13.29,25.77,29.21,56.89,34.19,1.23,7.35,11.13,326.07,53.242,1.15,3,1,1,3.719,0.793,0.118,0.265,391.7,13
5.39,11.99,44.38,24.82,43.78,33.37,0.01,6.35,4.47,160.97,20.768,1.42,1,0,0,4.225,0.511,0.392,0.232,666.8,6
8.59,12.13,33.31,28.68,57.29,34.0,1.93,7.46,5.0,268.18,61.538,1.42,2,0,0,4.008,0.863,0.13,0.1,755.4,16
7.74,11.71,42.91,24.85,58.2,31.85,0.33,8.03,6.29,344.19,46.724,1.22,0,1,1,3.64,0.435,1.05,0.025,546.0,7
8.31,14.71,45.21,23.76,50.51,30.84,0.08,7.29,10.47,249.66,64.781,0.54,2,1,1,2.803,0.506,0.513,0.295,440.6,2
8.89,14.99,43.58,21.49,55.32,34.88,0.61,7.77,9.28,117.85,24.79,0.25,3,0,1,3.637,1.001,0.795,0.25,404.0,12
5.87,11.8,26.45,29.83,44.96,35.24,1.83,7.85,9.64,314.18,39.794,0.89,2,0,0,3.686,0.683,0.201,0.269,871.0,12
8.14,11.08,30.78,28.78,43.41,30.54,0.08,7.29,9.6,213.45,52.289,1.06,2,1,0,1.161,0.562,0.162,0.077,274.0,7
5.0,13.53,42.22,21.78,47.39,34.78,1.72,8.01,11.18,124.66,32.111,0.64,3,1,0,2.901,0.996,0.557,0.166,814.3,16
7.73,12.3,29.24,22.71,47.87,34.24,0.15,6.69,9.58,151.53,57.479,0.66,2,1,1,2.186,1.084,0.991,0.175,883.0,17
9.24,9.96,44.78,23.61,49.59,32.07,0.07,8.14,10.3,283.4,23.394,0.29,2,0,1,1.063,1.192,0.887,0.243,389.4,3
6.84,12.38,25.59,24.79,57.9,33.67,1.41,6.98,8.06,251.16,38.049,0.08,1,1,0,3.839,1.189,0.564,0.256,861.3,6
8.86,14.93,29.64,28.82,45.11,30.83,0.93,7.08,5.56,182.06,30.432,0.11,0,1,1,3.668,0.6,0.604,0.221,766.2,15
5.75,13.2,44.12,27.02,40.72,34.6,0.58,6.33,8.58,301.7,52.463,0.92,2,1,0,3.318,0.324,0.247,0.246,485.8,11
5.55,12.08,45.74,24.23,56.86,32.04,0.04,8.23,9.34,314.82,50.527,0.72,0,1,0,3.737,0.308,1.074,0.242,814.1,10
9.24,8.32,43.68,28.27,58.4,30.78,1.35,6.57,11.2,202.27,21.547,1.33,1,1,0,2.169,0.494,0.705,0.253,501.1,15
8.59,13.62,44.37,20.14,57.71,31.19,0.7,7.63,9.57,357.01,48.229,0.59,3,0,0,1.218,0.75,0.102,0.063,300.4,2
8.92,14.8,33.83,28.07,44.25,35.09,0.6,8.36,8.98,267.43,57.445,1.49,3,1,0,4.34,0.846,0.778,0.041,645.7,7
6.69,10.75,27.94,27.88,49.68,30.9,0.97,6.93,7.32,278.05,55.675,1.3,0,1,0,4.252,0.451,0.518,0.036,387.7,14
7.62,11.65,30.18,20.91,48.16,35.03,0.02,7.04,6.57,143.14,43.074,0.2,0,0,0,4.876,0.809,0.853,0.282,443.2,2
5.41,8.29,24.62,20.48,49.43,34.22,1.75,7.99,6.39,297.24,57.832,0.32,2,0,1,2.34,0.88,1.004,0.183,672.2,3
5.4,8.03,25.25,24.37,50.91,33.17,0.36,7.31,10.38,196.95,43.014,0.68,1,1,0,4.573,1.171,1.157,0.246,394.6,10
