Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
10.07,13.6,33.35,27.97,45.46,32.09,1.73,7.16,12.33,121.09,35.193,0.75,2,1,0,1.236,0.888,0.761,0.261,467.9,8
12.08,14.54,29.67,21.5,39.75,35.14,1.64,7.63,5.31,227.52,33.712,0.22,2,1,0,4.019,0.615,0.485,0.14,664.1,1
15.99,14.39,38.51,22.1,46.87,35.26,1.6,6.5,7.22,340.72,41.714,0.75,2,1,1,2.954,0.547,0.659,0.248,515.3,19
8.71,11.59,42.64,21.55,37.58,34.66,0.94,7.47,10.25,137.51,54.524,0.23,2,1,0,3.94,0.492,0.934,0.119,798.9,9
11.84,14.49,39.64,27.68,41.24,35.34,0.23,6.62,10.93,282.02,40.322,0.72,2,1,0,4.315,0.33,0.313,0.194,295.7,5
10.29,11.33,40.34,25.29,40.69,31.92,1.08,8.17,4.13,208.53,44.022,0.33,0,1,1,2.524,0.849,1.197,0.114,698.9,4
13.3,11.97,28.47,24.11,48.96,34.7,1.07,7.54,6.4,229.01,40.081,0.89,3,0,1,1.704,1.161,1.081,0.115,506.7,9
15.59,13.76,31.92,26.04,37.93,35.94,0.81,7.65,9.89,147.83,35.444,0.55,1,1,1,4.006,0.428,0.477,0.151,416.7,14
11.64,14.27,31.46,24.32,35.36,34.26,0.47,6.76,4.97,183.95,33.91,1.35,3,1,0,1.191,0.935,0.849,0.173,594.7,17
14.36,14.73,34.59,21.94,43.12,32.35,1.45,7.21,9.57,142.19,31.923,0.51,1,1,0,2.547,0.435,0.219,0.099,335.1,15
10.08,10.64,38.22,25.78,37.13,34.42,0.49,8.31,9.22,329.48,56.977,0.82,1,0,1,4.031,0.79,0.846,0.135,742.2,3
11.36,13.97,34.21,27.34,37.9,33.79,0.64,6.91,11.75,310.4,29.192,0.42,1,1,1,4.536,1.197,0.619,0.112,475.6,9
12.0,12.7,42.66,22.45,35.99,32.82,0.88,7.07,9.61,224.35,48.161,0.09,2,1,1,1.773,0.411,1.028,0.278,278.3,12
13.91,10.28,39.27,27.59,37.34,31.01,1.29,6.86,5.33,199.13,54.262,1.25,3,0,0,3.654,0.396,0.813,0.292,681.5,11
15.18,11.58,33.95,26.56,41.75,35.04,0.6,7.06,6.48,226.26,22.397,0.04,2,1,0,2.519,0.991,1.194,0.232,713.6,4
14.57,11.69,35.1,24.22,48.89,33.74,0.27,8.05,4.97,127.41,34.543,0.97,1,1,1,2.121,0.552,1.048,0.078,383.7,1
12.23,14.33,30.33,21.94,37.55,34.42,0.7,8.11,10.76,105.91,52.607,1.2,3,1,1,4.388,0.739,0.361,0.035,269.8,7
13.48,10.92,33.99,24.51,43.91,34.8,1.19,7.66,5.66,317.03,59.638,0.61,1,1,0,3.85,0.899,1.174,0.184,459.5,18
10.72,13.5,44.88,24.94,47.56,36.48,0.66,7.88,11.09,135.77,37.677,1.39,1,0,0,2.192,0.849,0.483,0.243,313.5,8
10.75,11.45,28.16,26.95,44.27,36.49,0.93,6.83,7.35,358.25,57.513,0.9,3,1,0,2.57,0.808,0.627,0.048,600.1,5
8.7,10.73,30.82,26.76,43.07,32.96,0.19,6.6,11.84,202.84,54.643,0.22,1,0,1,3.817,0.584,0.613,0.218,454.1,17
12.25,11.45,43.98,22.79,38.63,35.29,1.95,6.33,8.6,163.97,31.483,0.65,1,1,1,1.866,0.736,1.076,0.267,459.0,8
11.32,12.52,42.57,24.91,38.35,31.71,0.68,7.88,11.66,120.71,28.214,0.77,3,1,1,1.992,0.596,0.695,0.115,794.7,17
10.98,11.95,42.26,20.16,49.84,36.02,0.08,7.91,11.55,174.58,24.113,0.17,3,1,1,1.384,0.577,0.795,0.276,698.1,12
11.49,10.78,43.08,21.11,37.33,32.58,0.44,8.22,8.93,247.55,38.645,1.15,3,0,1,3.084,0.444,1.121,0.099,410.3,7
15.21,11.42,34.13,20.4,49.89,34.87,0.04,6.36,8.92,113.51,32.503,0.53,1,1,0,4.257,1.175,0.374,0.062,299.4,18
9.97,12.77,36.34,20.05,36.39,32.92,0.76,6.5,11.31,165.32,35.107,1.42,0,1,1,4.358,0.423,1.11,0.016,446.2,19
8.59,14.02,36.69,27.16,44.85,36.86,1.33,7.52,7.3,300.51,31.69,0.36,1,0,0,4.421,0.766,0.157,0.07,769.5,7
15.88,14.74,34.11,24.41,44.21,34.28,1.11,7.66,12.39,279.82,29.051,1.13,0,0,1,4.501,0.556,0.518,0.235,550.4,2
13.18,14.16,34.35,23.08,36.63,35.64,0.14,7.28,4.93,284.44,52.237,0.39,3,1,0,3.508,1.092,0.827,0.092,382.5,1
15.85,13.27,39.74,24.72,44.35,33.49,0.53,7.17,5.16,281.68,54.961,1.43,0,1,0,3.511,0.454,0.802,0.187,356.4,11
13.76,12.96,30.16,21.85,43.58,31.39,2.0,6.88,8.3,315.74,52.362,0.79,0,1,0,3.99,0.531,0.267,0.038,550.4,8
12.52,13.56,39.88,24.68,41.88,31.39,0.53,8.32,6.78,386.78,56.929,0.65,3,0,0,3.577,0.68,0.309,0.094,620.0,18
15.65,11.51,29.0,25.21,37.97,36.47,1.63,8.01,6.54,305.37,47.462,1.4,0,0,0,4.677,0.903,1.035,0.196,634.2,11
12.89,11.02,32.89,22.86,49.72,32.67,1.98,6.28,4.33,336.02,35.773,0.23,2,0,1,3.569,1.036,1.151,0.196,473.8,9
8.57,11.86,43.21,23.92,43.62,33.93,1.9,6.11,6.58,389.02,27.724,0.2,0,0,0,2.167,1.172,0.313,0.288,708.3,11
10.68,10.86,44.56,23.17,37.7,34.67,1.73,6.33,7.7,350.74,34.141,1.34,1,1,1,3.533,0.3,0.844,0.018,441.8,8
12.18,11.34,44.36,27.97,36.9,35.99,1.19,7.87,7.11,283.07,50.228,1.22,1,0,1,2.317,0.631,1.026,0.13,278.9,5
8.94,12.6,41.46,25.19,41.12,32.94,1.47,7.92,7.48,303.38,49.489,0.88,2,1,1,4.551,1.112,0.71,0.272,546.7,9
12.11,12.17,42.2,27.35,47.11,34.03,1.39,8.44,12.3,145.59,41.469,1.01,2,1,1,2.795,0.643,1.006,0.261,305.0,15
9.99,12.65,30.7,23.36,42.07,33.39,1.17,7.79,8.03,345.05,37.733,0.68,3,0,0,1.662,0.745,0.176,0.019,656.6,4
11.11,13.42,30.24,25.92,44.48,36.79,0.72,7.64,7.73,258.72,36.353,0.52,0,1,0,4.46,0.715,0.329,0.011,654.2,5
13.35,10.05,36.05,22.14,49.21,36.33,0.36,6.62,7.42,369.62,51.186,0.96,1,0,0,2.657,0.955,0.523,0.173,292.0,9
11.98,14.76,31.91,20.43,38.02,34.77,1.51,7.59,10.12,266.79,59.908,1.26,3,1,1,2.671,1.156,0.141,0.235,322.9,16
9.51,12.25,29.02,25.76,46.31,33.15,0.1,7.88,7.59,214.36,41.609,0.88,2,0,1,3.636,0.98,0.92,0.294,430.6,8
10.46,11.07,35.73,22.75,37.25,35.97,0.36,6.14,12.62,187.59,34.1,0.12,3,0,0,3.885,0.54,0.798,0.166,429.0,14
12.72,13.03,37.66,22.9,36.67,36.86,0.22,8.18,6.92,197.78,43.986,1.43,3,0,1,2.736,0.576,0.273,0.247,710.0,5
12.48,11.15,28.7,21.28,44.09,35.57,0.07,7.56,6.63,131.49,20.063,0.71,3,1,0,3.243,0.799,1.002,0.148,470.4,16
8.88,12.28,44.35,27.65,41.95,36.5,0.26,7.1,4.33,212.36,41.054,0.33,0,1,1,3.725,0.798,1.186,0.099,704.8,18
10.09,14.33,37.1,20.66,43.34,31.25,0.17,7.14,8.62,243.61,42.598,0.97,2,1,0,3.06,0.785,0.245,0.181,768.7,6
12.06,12.94,33.53,21.4,45.42,31.39,0.69,6.14,5.26,225.09,30.354,1.04,1,0,1,2.458,0.965,0.46,0.289,658.7,9
10.52,12.47,38.31,20.8,36.81,31.4,0.3,6.29,6.26,185.44,56.105,0.99,1,1,1,2.382,0.561,0.663,0.176,614.1,11
10.46,14.35,43.54,21.35,37.46,33.31,1.74,8.47,9.61,264.42,35.604,1.18,0,1,0,4.709,0.735,0.902,0.14,470.8,2
12.29,14.44,28.06,25.12,35.04,31.28,1.56,7.51,9.89,202.95,57.338,0.93,3,1,0,3.815,0.323,0.198,0.029,412.7,10
9.91,12.09,34.12,26.82,40.25,36.62,0.2,7.16,12.0,384.76,36.939,1.23,0,1,0,3.615,1.034,0.336,0.136,699.2,6
11.78,11.69,33.23,21.96,48.48,36.34,1.24,6.21,6.05,284.95,50.216,1.38,2,1,0,4.638,0.685,0.211,0.111,554.9,18
10.55,10.92,42.75,25.34,45.51,34.77,1.37,6.29,6.31,357.73,40.015,1.07,0,0,1,3.393,0.526,0.893,0.162,333.5,7
13.39,10.43,36.13,21.91,37.04,34.96,0.59,7.11,10.84,118.47,42.916,0.45,3,1,1,2.141,0.916,0.814,0.221,736.1,1
12.21,10.82,32.45,27.97,37.22,31.06,0.41,7.25,9.68,273.16,27.363,0.62,2,0,1,4.903,0.435,0.125,0.104,337.7,13
12.76,10.16,40.82,22.58,37.49,31.39,0.7,7.35,9.18,273.85,50.724,0.38,1,0,1,3.921,1.021,0.677,0.183,364.9,2
10.65,13.25,38.54,22.17,41.0,32.66,1.66,7.19,9.7,295.33,49.605,1.38,3,0,1,4.117,1.061,0.82,0.21,357.6,10
15.6,11.57,35.35,27.38,49.18,35.3,1.64,7.62,12.5,223.22,37.53,0.83,1,0,0,2.604,1.193,0.705,0.114,787.2,11
9.11,11.28,44.88,22.89,36.15,36.69,1.45,6.53,4.06,350.91,41.869,0.18,1,0,0,4.254,1.006,0.898,0.067,790.2,10
11.95,10.19,39.94,20.57,44.97,35.4,0.91,7.55,9.23,370.42,36.471,0.6,3,0,0,4.067,0.433,0.658,0.237,792.3,11
12.89,14.03,38.72,21.22,43.79,33.03,0.11,7.77,9.34,144.3,44.173,1.34,1,0,0,3.712,0.733,0.975,0.111,612.6,1
14.27,12.82,44.66,27.22,40.98,35.37,1.66,8.3,12.19,223.54,50.994,0.12,3,0,0,2.277,1.137,1.187,0.149,698.1,6
12.3,11.19,29.61,22.85,42.79,34.29,1.04,6.9,7.0,253.82,44.294,0.36,1,1,1,3.714,0.64,0.514,0.016,766.1,18
10.64,12.16,29.47,23.84,46.01,32.67,1.96,7.33,7.73,360.76,52.891,0.47,2,0,1,4.836,0.915,0.299,0.284,593.0,11
14.1,10.04,33.43,26.16,36.27,33.94,1.19,7.85,4.47,259.4,30.843,0.6,3,1,0,4.995,0.669,1.085,0.182,558.5,3
13.43,11.36,42.84,22.59,48.21,36.12,0.57,6.48,7.47,153.73,53.214,0.54,1,0,0,2.664,0.929,0.149,0.084,705.7,2
12.49,10.24,44.04,21.97,46.46,34.91,1.3,6.16,9.06,264.93,26.265,0.06,3,1,1,1.03,0.307,0.783,0.223,401.5,19
11.68,12.93,34.36,27.56,48.85,35.85,1.65,7.84,9.91,226.49,20.936,0.85,2,0,1,4.763,0.58,0.827,0.076,763.8,6
10.2,14.3,33.21,25.87,39.96,33.44,1.43,7.49,10.31,125.39,37.842,0.13,0,0,0,1.226,0.448,0.385,0.194,746.3,11
11.66,14.28,34.49,21.05,44.82,31.89,0.62,7.48,12.91,213.74,54.127,0.67,1,1,1,2.716,1.03,1.171,0.045,645.2,6
9.06,10.84,33.7,26.14,35.98,33.83,1.48,7.71,8.57,226.52,36.262,1.28,0,0,0,3.707,1.025,0.673,0.225,342.5,1
8.9,13.92,33.33,21.33,35.07,34.09,1.53,6.55,11.43,229.2,36.684,0.7,3,1,0,3.89,1.015,0.135,0.264,653.7,8
14.69,11.97,38.01,21.11,46.06,35.71,0.46,8.2,6.87,326.47,27.436,1.0,0,1,1,1.06,0.517,0.581,0.285,534.8,18
14.45,10.27,38.59,27.61,44.8,32.2,0.58,6.83,12.73,386.77,52.316,0.82,3,1,1,4.601,1.032,0.711,0.224,591.0,16
12.98,12.32,44.68,23.13,41.25,31.89,1.7,8.31,8.1,320.94,34.939,0.67,3,0,0,1.769,0.636,0.657,0.133,648.2,13
9.65,11.01,34.7,25.53,47.13,35.54,0.1,6.5,8.87,344.57,34.992,0.72,0,0,1,3.596,0.524,0.508,0.021,277.5,15
9.01,12.33,34.64,22.56,46.59,32.0,0.65,7.74,10.67,193.6,49.234,1.18,1,0,1,4.736,0.666,0.41,0.216,691.9,17
12.53,14.07,30.51,23.81,46.93,33.12,0.98,6.88,5.17,167.46,46.222,1.19,3,0,0,4.653,1.099,0.541,0.07,723.4,13
11.93,12.32,31.71,24.84,42.8,36.9,0.3,6.19,5.04,314.06,31.639,0.18,3,1,0,2.306,0.536,0.962,0.052,694.1,18
15.45,10.97,29.95,24.49,46.95,31.47,1.8,6.52,12.82,271.72,38.598,0.93,1,0,1,2.129,1.119,0.133,0.019,396.4,9
