Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
11.91,15.42,44.87,18.7,51.34,33.84,1.29,6.89,8.34,151.84,54.708,1.43,2,0,1,2.701,0.668,1.015,0.033,330.6,4
7.83,15.72,35.89,16.57,53.45,35.9,0.36,7.69,7.06,126.83,47.492,0.86,3,1,1,1.893,0.453,0.429,0.123,394.6,18
7.05,14.59,42.14,16.31,48.05,35.06,0.83,7.74,10.62,180.63,46.795,0.7,1,0,0,2.067,0.353,0.787,0.044,231.5,8
8.78,11.79,39.46,17.44,49.25,37.08,0.53,6.74,9.61,347.7,51.002,0.84,0,0,0,2.405,0.386,0.93,0.206,239.1,13
10.83,12.32,46.15,19.65,54.9,34.77,1.33,6.23,9.49,315.04,59.225,0.0,0,0,1,3.079,0.721,0.978,0.232,261.6,6
8.12,12.27,39.5,17.43,50.24,32.91,1.9,6.25,11.24,301.74,51.073,0.05,2,1,1,2.259,0.341,0.684,0.026,240.9,4
10.38,12.28,42.39,16.64,48.79,34.7,1.38,7.65,8.38,336.26,32.18,1.17,3,0,0,4.272,0.424,0.403,0.1,468.8,15
11.47,16.5,45.94,19.34,42.21,34.93,0.41,6.98,11.74,303.02,41.196,1.44,0,1,0,3.67,0.581,1.078,0.039,150.1,14
10.91,11.01,32.68,14.44,40.19,34.85,0.99,6.25,5.28,270.77,68.147,1.25,0,0,1,4.649,0.449,0.712,0.178,400.6,2
6.83,15.4,34.85,19.63,49.27,35.24,1.11,6.97,7.18,116.0,42.324,1.24,2,1,0,1.938,0.935,0.962,0.197,203.8,1
8.33,13.11,43.98,15.26,41.65,35.08,0.11,6.51,8.59,134.45,54.636,0.23,2,0,1,2.762,0.307,0.693,0.083,220.0,12
7.91,12.96,48.84,15.38,40.17,33.91,1.35,6.31,8.26,378.92,30.254,1.29,2,0,0,4.472,0.841,0.834,0.191,395.0,17
11.3,11.09,36.43,18.43,46.68,33.74,0.23,7.43,9.41,375.68,31.212,0.93,0,0,0,2.82,0.846,0.429,0.013,242.1,16
7.17,12.75,46.31,17.63,52.44,34.79,1.72,7.49,9.01,262.66,39.498,1.22,2,1,1,3.633,0.966,0.199,0.117,450.5,5
7.16,12.86,50.11,18.04,51.18,34.77,1.66,6.61,11.08,182.13,67.196,0.61,0,0,0,1.731,0.962,0.402,0.172,365.9,13
10.53,13.49,39.59,18.69,47.45,32.16,1.81,7.56,6.64,295.72,65.055,1.42,0,0,1,2.98,0.89,0.987,0.22,324.7,19
9.58,16.96,41.78,15.34,48.39,34.42,1.38,6.45,10.56,226.97,49.579,0.17,2,1,0,2.425,0.309,1.053,0.077,585.9,11
10.43,13.61,36.97,14.11,54.41,32.89,0.32,7.79,9.06,365.3,50.69,0.06,1,1,0,1.708,0.728,0.776,0.052,442.1,6
11.69,12.37,51.74,15.2,45.31,36.02,0.33,6.22,7.28,183.49,53.827,0.01,1,0,0,4.666,0.911,0.911,0.117,231.4,1
7.76,13.67,33.67,19.01,45.45,33.5,1.31,6.07,8.82,259.85,31.017,1.16,2,1,0,4.218,0.677,0.326,0.097,169.9,7
10.53,11.83,39.25,14.11,46.04,32.81,0.34,7.83,11.47,205.98,54.169,0.19,2,0,0,4.634,0.892,0.298,0.176,484.5,16
8.83,11.38,36.25,16.82,46.75,33.67,1.05,7.68,8.01,263.75,59.878,1.1,0,0,1,4.718,0.692,0.727,0.037,218.4,17
9.62,12.72,45.88,19.71,52.0,33.56,1.22,7.25,9.69,375.14,31.075,1.14,2,1,1,1.941,0.318,0.142,0.015,596.9,10
8.16,11.31,52.97,14.89,53.27,37.24,0.8,6.16,10.71,280.75,47.939,0.69,1,1,1,2.329,0.627,0.49,0.251,214.3,4
9.02,15.18,41.1,15.62,44.76,36.27,0.43,7.68,10.21,121.86,32.12,0.97,3,0,0,3.21,0.396,1.012,0.242,407.4,16
7.89,13.54,42.7,16.97,40.1,35.25,0.37,6.67,8.22,257.05,58.539,0.03,0,1,1,4.249,0.969,1.069,0.003,359.7,18
7.32,11.02,49.6,14.54,41.23,37.64,0.05,7.37,9.9,336.61,44.869,0.6,1,1,1,2.797,0.733,0.352,0.232,410.4,9
7.29,16.47,34.81,14.54,42.88,32.83,1.1,7.21,10.82,282.48,39.275,0.32,3,0,0,4.182,0.401,0.589,0.211,473.1,3
12.05,16.79,44.88,18.05,52.13,33.0,0.58,7.36,10.51,192.15,62.11,0.45,3,1,1,4.007,0.637,0.8,0.299,382.9,5
8.12,12.79,40.1,19.09,53.03,33.56,1.27,6.55,10.32,152.33,37.57,0.14,1,0,1,4.029,0.975,0.523,0.085,186.4,2
9.69,11.19,51.72,19.23,49.22,36.51,1.41,7.1,7.79,207.32,67.185,0.49,2,1,1,2.114,0.458,0.876,0.101,325.5,5
7.41,13.74,33.02,19.16,42.37,36.98,0.69,6.64,7.15,374.22,61.146,1.43,2,0,1,1.761,0.341,0.94,0.191,180.4,11
11.85,15.43,38.21,15.49,41.42,37.18,1.08,6.99,7.53,139.77,38.745,0.57,0,1,0,2.643,0.512,0.301,0.178,543.0,3
9.27,15.07,41.17,17.21,49.26,36.25,0.59,6.7,9.56,311.4,51.366,0.08,0,1,1,4.405,0.401,0.516,0.188,188.1,12
10.75,14.01,46.31,19.8,54.88,37.4,0.12,7.2,7.62,187.76,48.826,1.28,0,1,1,4.97,0.388,0.187,0.025,203.3,9
11.0,11.73,37.78,17.27,52.52,37.5,1.93,6.82,5.05,152.23,37.177,1.5,1,1,1,4.958,0.543,0.593,0.016,230.7,19
6.99,13.5,39.47,17.37,47.0,37.68,0.65,6.35,11.39,227.78,68.841,0.24,3,0,1,1.854,0.325,0.502,0.046,326.9,18
9.48,15.5,37.29,15.03,40.84,33.7,0.56,7.53,7.33,287.09,64.138,1.22,1,0,0,4.772,0.574,0.277,0.03,547.1,2
8.96,15.32,50.29,18.91,45.74,33.89,1.54,6.94,8.99,149.4,35.602,1.33,3,1,1,3.73,0.484,0.539,0.293,235.9,3
9.76,16.99,42.13,17.73,40.09,36.66,1.84,7.35,8.13,111.06,63.848,0.08,2,0,1,2.025,0.944,0.886,0.031,314.2,3
8.24,11.97,50.3,18.49,52.74,37.15,0.83,7.75,10.16,272.16,46.38,0.09,1,1,1,3.33,0.449,1.011,0.126,174.1,12
11.41,12.67,52.38,14.83,42.7,35.49,0.3,7.76,9.17,359.23,65.835,0.39,1,0,1,3.571,0.589,0.34,0.051,572.8,12
12.1,12.11,40.0,14.98,49.93,32.52,1.24,7.74,7.59,139.63,66.745,0.56,1,0,1,2.784,0.768,0.738,0.283,271.0,19
10.85,15.95,34.65,18.77,47.34,33.13,0.38,7.87,11.97,184.51,46.361,0.85,3,1,1,3.391,0.993,0.575,0.058,205.4,14
11.41,12.38,42.62,15.86,53.77,33.77,1.28,7.53,10.08,184.78,64.699,0.45,2,1,0,3.402,0.823,0.872,0.101,439.9,18
9.9,14.55,48.62,19.76,50.02,34.31,0.11,7.19,8.16,122.08,58.852,0.1,2,0,1,3.6,0.87,0.117,0.095,156.1,3
10.1,12.27,34.03,16.13,40.14,33.51,0.75,6.16,8.9,255.76,48.27,1.19,1,1,1,4.836,0.916,0.278,0.291,246.1,13
11.07,15.86,46.62,17.06,46.22,36.89,1.93,6.66,10.97,199.95,41.387,0.24,3,0,0,3.263,0.506,0.462,0.216,218.4,5
11.04,12.88,34.8,16.12,40.46,37.63,0.93,7.89,11.74,133.83,46.257,0.23,3,0,1,4.7,0.424,1.09,0.159,487.1,2
11.37,15.17,45.76,19.92,41.13,34.87,1.16,7.41,11.18,334.16,58.851,0.43,3,0,1,4.856,0.938,0.945,0.009,256.0,2
11.31,14.6,37.83,17.51,40.61,36.22,1.69,7.26,5.04,283.64,65.441,0.08,3,1,0,3.045,0.575,0.631,0.028,312.2,16
10.84,14.33,39.08,17.91,44.67,33.68,1.49,6.34,6.03,319.72,56.436,1.05,0,0,0,4.899,0.853,1.123,0.007,445.3,7
8.21,15.73,35.21,17.17,46.09,34.61,0.02,6.64,11.54,361.0,34.807,1.43,3,0,0,2.934,0.476,0.888,0.036,522.9,18
8.62,16.92,32.16,14.31,51.3,36.82,1.17,6.18,7.56,394.09,31.934,1.24,0,1,1,4.065,0.703,0.277,0.124,296.2,10
10.21,14.7,38.63,18.46,52.06,33.35,0.26,7.47,5.34,352.03,54.2,0.55,2,1,1,4.41,0.357,0.589,0.183,286.1,8
11.95,12.87,48.94,16.4,40.29,33.33,0.36,6.81,6.84,380.58,55.958,0.42,3,1,0,2.978,0.924,0.193,0.214,495.1,14
10.88,14.8,48.9,18.52,40.12,32.44,0.11,7.53,11.39,170.1,67.05,0.09,3,0,1,1.67,0.45,0.352,0.023,160.5,1
6.6,12.89,42.46,19.15,42.71,37.59,1.39,6.23,5.74,207.49,57.631,0.97,2,0,0,2.333,0.32,1.171,0.05,442.5,10
12.31,12.72,34.15,15.16,45.39,33.39,0.64,7.44,11.39,213.94,40.612,0.43,0,0,0,2.516,0.398,1.027,0.28,330.7,1
11.45,14.64,42.66,14.49,47.67,35.58,1.28,7.72,5.62,352.17,37.882,1.11,1,1,1,2.374,0.81,0.639,0.204,446.4,13
9.89,16.73,48.25,15.29,52.09,33.6,0.29,7.38,6.06,377.73,34.866,1.08,2,1,0,3.421,0.859,1.194,0.264,514.5,17
11.3,13.12,50.33,16.45,54.85,32.25,1.26,7.01,11.93,372.98,64.049,0.47,2,1,1,4.79,0.844,0.556,0.21,479.2,17
10.21,11.69,33.06,15.64,46.51,34.79,0.54,6.94,7.9,184.86,52.188,0.08,0,1,0,4.56,0.375,0.66,0.262,344.8,5
7.26,14.09,39.69,14.05,45.49,36.07,1.79,6.34,5.86,399.46,57.407,1.02,3,1,0,3.086,0.654,0.688,0.278,396.9,1
10.36,13.35,34.31,19.23,50.28,34.09,0.12,7.66,8.28,219.67,69.577,1.05,3,1,0,3.484,0.803,1.156,0.21,388.6,10
10.28,15.44,47.53,19.08,48.91,32.47,1.77,6.08,9.27,278.8,44.063,1.06,2,1,0,3.889,0.736,0.47,0.277,376.5,17
9.45,13.34,40.44,16.75,49.56,34.26,1.36,6.58,11.36,311.85,63.656,0.02,0,1,0,1.587,0.686,0.809,0.275,436.8,17
12.01,12.84,46.33,19.11,41.12,33.3,0.04,7.47,5.09,387.46,56.116,1.08,1,0,0,4.266,0.547,0.161,0.159,184.9,2
12.49,12.74,38.63,19.19,51.47,33.53,1.62,6.73,11.84,156.05,66.764,0.48,3,1,1,3.278,0.629,0.895,0.069,277.1,4
11.27,16.65,44.26,18.17,46.46,32.43,1.81,7.24,10.95,108.56,68.8,1.09,2,1,1,4.939,0.783,0.202,0.071,302.4,12
6.79,15.78,41.57,16.74,49.62,37.49,0.53,6.28,9.18,331.1,56.46,1.32,0,0,0,2.342,0.357,0.972,0.289,248.2,9
6.67,16.61,49.59,14.19,50.91,35.73,0.12,7.12,6.36,233.5,46.161,0.46,3,0,0,4.513,0.769,0.947,0.27,471.0,6
10.45,15.13,51.13,18.03,44.78,33.65,1.64,7.34,11.51,330.94,31.897,1.33,1,0,0,2.314,0.923,0.585,0.12,518.3,11
10.3,11.22,47.66,16.76,54.02,37.54,1.34,7.98,10.77,387.74,51.344,0.47,2,0,1,4.737,0.887,0.966,0.1,418.4,19
9.26,11.12,52.63,14.68,41.82,37.33,0.33,7.73,5.05,326.43,66.569,0.76,1,1,1,2.432,0.343,0.688,0.056,154.5,9
8.78,14.93,50.44,14.15,50.73,35.17,1.41,6.29,10.94,206.13,66.873,0.9,1,1,0,2.137,0.505,1.086,0.16,366.0,14
7.13,16.96,39.18,18.98,51.53,33.86,1.09,6.81,7.2,282.06,68.996,1.44,0,1,0,3.134,0.99,1.138,0.286,217.4,2
9.12,11.09,50.93,19.57,46.04,33.0,0.96,7.3,9.78,367.27,66.594,1.44,2,1,0,3.219,0.991,0.796,0.239,234.6,14
9.42,14.17,40.87,16.11,42.39,33.42,1.7,7.6,11.58,326.68,43.268,0.67,2,0,1,3.237,0.467,0.626,0.104,541.9,13
11.03,15.14,45.14,17.71,45.37,35.93,1.0,7.58,7.98,120.13,46.777,0.5,3,0,1,2.135,0.675,0.594,0.067,259.5,3
11.3,12.77,48.41,15.98,51.69,35.3,1.48,6.92,10.01,263.54,31.104,1.49,0,1,0,4.089,0.341,0.84,0.114,292.1,18
6.93,15.13,47.32,16.83,42.59,35.66,0.97,7.69,9.7,265.61,39.929,0.77,2,1,0,1.805,0.897,0.765,0.218,364.1,11
7.4,12.42,36.88,18.71,48.03,37.99,1.49,6.2,9.14,348.17,36.489,0.51,2,0,0,3.921,0.596,0.471,0.154,439.5,12
11.32,11.09,45.39,14.59,45.77,35.59,0.88,7.51,10.43,362.88,55.892,0.09,2,1,1,4.65,0.499,0.468,0.3,304.3,17
11.66,12.74,38.1,17.72,43.81,36.34,1.84,6.14,5.29,348.79,64.513,1.37,2,0,0,2.889,0.8,0.56,0.16,163.7,7
11.27,13.49,46.81,16.42,52.78,34.57,0.67,6.39,7.92,167.82,38.355,0.03,2,1,1,2.335,0.77,0.159,0.19,513.4,19
7.91,15.67,37.79,16.45,48.59,37.05,1.87,6.27,7.09,342.8,61.995,0.66,3,0,1,2.654,0.931,1.036,0.056,173.0,3
9.84,13.07,49.03,16.45,51.6,33.9,0.43,6.14,10.97,201.47,30.147,1.34,2,0,1,3.178,0.594,0.601,0.268,552.8,19
